ref_id,TC_1,TC_2,TC_3
CoV|QHQ82463.179.BC1,13088,14178,14554
CoV|QHQ82463.180.BC1,25910,27196,19582
CoV|QHQ82463.181.BC1,15900,19635,22445
CoV|QHQ82463.182.BC1,27860,25779,44267
CoV|QHQ82463.183.BC1,7774,6449,12287
CoV|QHQ82463.184.BC1,15419,17159,22295
CoV|QHQ82463.185.BC1,66145,60395,73205
CoV|QHQ82463.186.BC1,27422,23258,29649
CoV|QHQ82463.187.BC1,8223,10781,8299
CoV|QHQ82463.188.BC1,15718,14716,23664
CoV|QHQ82463.189.BC1,35992,28086,42412
CoV|QHQ82463.190.BC1,34337,23805,28236
CoV|QHQ82463.191.BC1,6126,14001,10782
CoV|QHQ82463.192.BC1,50655,65739,55012
CoV|QHQ82463.193.BC1,38470,33895,46253
CoV|QHQ82463.194.BC1,26802,19769,27346
CoV|QHQ82463.195.BC1,18233,15490,24520
CoV|QHQ82463.196.BC1,12904,10451,17986
CoV|QHQ82463.197.BC1,13476,14787,16288
CoV|QHQ82463.198.BC1,17479,15093,15759
CoV|QHQ82463.199.BC1,18752,19075,18065
CoV|QHQ82463.200.BC1,13844,10434,15339
CoV|QHQ82463.201.BC1,40371,34242,35385
CoV|QHQ82463.202.BC1,15820,6800,12703
CoV|QHQ82463.203.BC1,37561,32510,32658
CoV|QHQ82463.204.BC1,22052,22555,23108
CoV|QHQ82463.205.BC1,14318,14624,16654
CoV|QHQ82463.206.BC1,20485,21607,25955
CoV|QHQ82463.207.BC1,20787,22704,22725
CoV|QHQ82463.208.BC1,13138,15878,14824
CoV|QHQ82463.209.BC1,14441,14399,17285
CoV|QHQ82463.210.BC1,20608,17822,20393
CoV|QHQ82463.211.BC1,20808,25103,26373
CoV|QHQ82463.212.BC1,15592,17314,18236
CoV|QHQ82463.213.BC1,17148,19231,24427
CoV|QHQ82463.214.BC1,13242,15434,19732
CoV|QHQ82463.215.BC1,30755,35165,32938
CoV|QHQ82463.216.BC1,18002,18298,19521
CoV|QHQ82463.217.BC1,13723,15598,15089
CoV|QHQ82463.218.BC1,15063,18209,20391
CoV|QHQ82463.219.BC1,12806,17185,20817
CoV|QHQ82463.220.BC1,40827,46322,48307
CoV|QHQ82463.221.BC1,19111,25589,22711
CoV|QHQ82463.222.BC1,31545,25164,32803
CoV|QHQ82463.223.BC1,24943,24199,30256
CoV|QHQ82463.224.BC1,20451,18615,27536
CoV|QHQ82463.225.BC1,24292,31451,34622
CoV|QHQ82463.226.BC1,27270,32438,36581
CoV|QHQ82463.227.BC1,17414,17809,27100
CoV|QHQ82463.228.BC1,22815,33936,26617
CoV|QHQ82463.229.BC1,11671,20073,26382
CoV|QHQ82463.230.BC1,16763,18469,16648
CoV|QHQ82463.231.BC1,26403,40046,29702
CoV|QHQ82463.232.BC1,51080,45226,52649
CoV|QHQ82463.233.BC1,52707,50506,48437
CoV|QHQ82463.234.BC1,42001,31370,42004
CoV|QHQ82463.235.BC1,13238,17238,16970
CoV|QHQ82463.236.BC1,19440,20909,26806
CoV|QHQ82463.237.BC1,4741,8611,6131
CoV|QHQ82463.238.BC1,4826,6367,5017
CoV|QHQ82463.239.BC1,16977,18787,18344
CoV|QHQ82463.240.BC1,2584,3815,2729
CoV|QHQ82463.241.BC1,14335,8683,17074
CoV|QHQ82463.242.BC1,25898,29668,34163
CoV|QHQ82463.243.BC1,32562,32352,32108
CoV|QHQ82463.244.BC1,35851,38815,32021
CoV|QHQ82463.245.BC1,40182,48303,49679
CoV|QHQ82463.246.BC1,28711,27384,27428
CoV|QHQ82463.247.BC1,11200,14547,12342
CoV|QHQ82463.248.BC1,25913,27956,27772
CoV|QHQ82463.249.BC1,12150,12652,19813
CoV|QHQ82463.250.BC1,11479,10473,13136
CoV|QHQ82463.251.BC1,15639,17850,16027
CoV|QHQ82466.0.BC1,37933,43280,58478
CoV|QHQ82466.1.BC1,42246,39064,46220
CoV|QHW06048.3.BC1,28587,33191,18443
